Prompt,Average,Average2
right,1.994974874,3.005025126
crisis_nep,2.0325,2.9675
decade_mor,2.14,2.86
bal_nep,2.1875,2.8125
loss_instr,2.226130653,2.773869347
iden_met,2.9875,2.9875
extract_ins,3.1925,3.1925
kin_met,3.381909548,3.381909548
tech,3.4975,3.4975
wild_rel,3.6975,3.6975
health_rel,3.718592965,3.718592965
iden_rel,3.8225,3.8225
spaceship_nep,3.876884422,3.876884422
bau_nep,3.895,3.895
resp_met,3.984962406,3.984962406
kin_rel,4.002512563,4.002512563
comm_rel,4.067669173,4.067669173
other_met,4.0875,4.0875
abuse_nep,4.2525,4.2525
other_rel,4.3425,4.3425
clean_inst,4.685,4.685
