oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_nep,mean_rel,mean_met,mean_inst,mean_mor,gender,age,edu,income,employ,pol,tech_r,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,extract_r_ins,loss_r_inst,clean_inst,decade_r_mor,right_r_mor,comm_rel,wild_rel,iden_rel,kin_rel,health_rel,other_rel,kin_met,resp_met,iden_met,other_met,lat,long,ResponseID,,zip
2,5,4,3,5,5,4.60,4.17,2,3.67,3,2,28,6,9,1,1,1,5,3,5,5,5,2,2,5,2,2,5,5,3,3,4,5,3,2,2,1,40.74000549,-73.93609619,R_02Il4uscqNJuWBT,,6110
1,5,3,3,2,3,4.40,3.67,2,3.33,2.5,1,28,6,2,1,1,3,5,4,5,4,4,4,5,5,4,5,4,4,4,4,2,4,2,2,3,1,42.47639465,-72.62640381,R_03dxZHgSxRRcU7P,,1129
2,5,4,3,4,5,2.40,3.17,3,3,3.5,1,49,4,6,1,3,3,3,2,3,2,2,2,3,4,3,2,4,1,2,4,4,4,3,3,3,3,44.97999573,-93.26380157,R_06Y0lnVBn4wxJ3L,,1906
1,5,4,3,3,3,4.80,4.17,1,3,3,1,47,5,2,1,3,2,5,5,5,4,5,3,5,5,5,5,4,5,5,5,1,5,1,1,1,1,41.54969788,-72.65309906,R_07AGQOGDunwlNtj,,3063
2,5,4,3,5,4,3.60,3.83,1.25,3,3,1,31,5,6,1,1,2,4,3,4,3,4,3,4,4,4,4,4,4,4,4,2,5,1,1,1,2,42.30589294,-71.08589935,R_0BbFw5YG2F7Lzmt,,2914
2,5,4,3,5,4,4.60,5,1,4.33,1,2,20,6,5,5,1,1,5,4,5,4,5,5,3,5,1,5,5,5,5,5,5,5,1,1,1,1,42.38009644,-71.06420135,R_0ca6ARQoBohPc5T,,1543
2,5,4,3,2,4,4.80,3.67,2.5,3.67,2.5,1,28,6,5,4,1,2,5,5,5,4,5,4,4,5,4,5,4,3,5,4,1,5,4,2,3,1,41.73049927,-71.11450195,R_0ccMuYX35uxjiHH,,3071
2,5,4,3,4,4,4.60,4.17,1.75,3,3,1,28,7,6,1,3,2,5,4,5,5,4,2,4,5,4,4,4,4,5,5,2,5,2,2,2,1,43.18710327,-70.91000366,R_0CJgoxE736KONEh,,68007
2,5,4,3,4,3,4.40,3.5,3.25,3.33,2.5,2,34,4,4,1,3,3,5,4,5,4,4,4,5,5,4,5,4,4,3,3,3,4,3,3,5,2,42.24229431,-71.80989838,R_0cR05LOhW7P7qIJ,,1040
2,5,4,3,3,4,5.00,4.33,1.5,3.33,3,1,25,6,4,1,1,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,2,1,2,1,41.78160095,-72.18099976,R_0cuvRoyOulek00R,,1001
