att_w_US,const_st,wf_rec,coast_rec,first_st,oper,NEP,rel,met,moral,instr,oper,att_w_US,const_st,wf_rec,coast_rec,first_st,mean_inst,abuse_nep,bal_r_nep,crisis_r_nep,spaceship_nep,bau_nep,comm_rel,wild_rel,iden_rel,kin_rel,health_rel2,other_rel,extract_r_ins,loss_r_ins,clean_inst,decade_r_mor,right_r_mor,kin_met,resp_met,iden_met,other_met,id_num,tech_r,gender,age,edu,income,employ,pol
5,4,3,5,5,2,4.60,3.83,4.00,2.00,3.00,2,5,4,3,5,5,3.67,5,3,5,5,5,5,5,3,3,2,5,2,2,5,2,2,3,4,4,5,R_02Il4uscqNJuWBT,1,2,28,6,9,1,1
5,3,3,2,3,1,4.40,4.00,4.00,4.50,4.67,1,5,3,3,2,3,3.33,5,4,5,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,3,5,R_03dxZHgSxRRcU7P,2,1,28,6,2,1,1
5,4,3,4,5,2,2.40,2.83,3.00,2.50,3.00,2,5,4,3,4,5,3,3,2,3,2,2,4,1,2,4,2,4,2,3,4,3,2,3,3,3,3,R_06Y0lnVBn4wxJ3L,2,1,49,4,6,1,3
5,4,3,3,3,1,4.80,4.83,5.00,5.00,4.33,1,5,4,3,3,3,3,5,5,5,4,5,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,R_07AGQOGDunwlNtj,1,1,47,5,2,1,3
5,4,3,5,4,2,3.60,4.17,4.75,4.00,3.67,2,5,4,3,5,4,3,4,3,4,3,4,4,4,4,4,4,5,3,4,4,4,4,5,5,5,4,R_0BbFw5YG2F7Lzmt,2,1,31,5,6,1,1
5,4,3,5,4,2,4.60,4.33,5.00,3.00,4.33,2,5,4,3,5,4,4.33,5,4,5,4,5,5,5,5,5,1,5,5,3,5,1,5,5,5,5,5,R_0ca6ARQoBohPc5T,2,2,20,6,5,5,1
5,4,3,2,4,2,4.80,4.33,3.50,4.50,4.33,2,5,4,3,2,4,3.67,5,5,5,4,5,4,3,5,4,5,5,4,4,5,4,5,2,4,3,5,R_0ccMuYX35uxjiHH,2,1,28,6,5,4,1
5,4,3,4,4,2,4.60,4.50,4.25,4.00,3.67,2,5,4,3,4,4,3,5,4,5,5,4,4,4,5,5,4,5,2,4,5,4,4,4,4,4,5,R_0CJgoxE736KONEh,2,1,28,7,6,1,3
5,4,3,4,3,2,4.40,3.50,2.75,4.50,4.67,2,5,4,3,4,3,3.33,5,4,5,4,4,4,4,3,3,3,4,4,5,5,4,5,3,3,1,4,R_0cR05LOhW7P7qIJ,3,2,34,4,4,1,3
5,4,3,3,4,2,5.00,5.00,4.50,5.00,4.67,2,5,4,3,3,4,3.33,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,R_0cuvRoyOulek00R,1,1,25,6,4,1,1
5,3,3,4,2,2,3.80,3.83,3.00,3.50,3.00,2,5,3,3,4,2,3.67,4,4,3,4,4,4,4,4,3,4,4,2,2,5,3,4,2,4,2,4,R_0dENC7slP3a5Rd3,3,1,29,5,6,1,3
5,4,3,2,3,2,4.00,3.00,2.50,3.50,4.00,2,5,4,3,2,3,3.33,4,4,5,3,4,3,3,3,1,3,5,3,4,5,4,3,2,2,2,4,R_0DMHiyIBCc8lqvj,3,1,24,6,6,1,1
3,1,3,5,2,2,3.40,3.50,4.00,3.50,4.00,2,3,1,3,5,2,3.33,4,4,3,3,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,R_0DnMj6rXovPR6NT,2,1,45,5,7,1,1
5,3,3,5,4,1,3.80,4.83,4.75,5.00,4.67,1,5,3,3,5,4,4,5,2,4,3,5,5,5,5,5,4,5,5,4,5,5,5,5,5,4,5,R_0DNRjAxdsB6W4jX,2,1,22,6,3,1,3
4,4,3,3,3,1,4.20,4.00,3.00,5.00,3.00,1,4,4,3,3,3,3.67,4,3,5,4,5,4,4,4,3,4,5,2,2,5,5,5,2,4,2,4,R_0eVImlwn2BEANIF,3,1,38,3,4,1,1
5,3,3,2,3,2,4.80,4.17,3.50,3.50,3.33,2,5,3,3,2,3,3.33,5,5,5,4,5,4,4,4,5,4,4,3,3,4,3,4,3,4,3,4,R_0fEAnZ0L0SnIgdv,3,2,27,7,7,1,3
4,3,3,5,3,2,3.60,2.83,3.50,4.00,4.00,2,4,3,3,5,3,3.33,4,4,4,2,4,3,2,3,2,3,4,3,4,5,4,4,2,4,4,4,R_0HbxWvLhImRT7IV,2,1,25,6,4,1,1
5,4,3,5,4,2,5.00,5.00,5.00,5.00,3.67,2,5,4,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,R_0HTlmcKe5FrddvT,3,1,40,7,6,1,3
